sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2562,25.62,3.5808806944444402,5.050277728550107,3.018559966135809,1.4693970341056666,0.5623207283086313,-0.9070763057970352,1,1,1,0,0
2563,25.63,3.559750671296298,5.041859524504331,3.0029173929483353,1.4821088532080333,0.5568332783479626,-0.9252755748600707,1,1,1,0,0
2564,25.64,3.538620648148144,5.033441320458555,2.9872748197608616,1.4948206723104107,0.5513458283872823,-0.9434748439231284,1,1,1,0,0
2565,25.65,3.517490624999996,5.025023116412774,2.971632246573382,1.5075324914127775,0.545858378426614,-0.9616741129861635,1,1,1,0,0
2566,25.66,3.49595935185185,5.01586589397227,2.9554682475432945,1.5199065421204203,0.5404911043085554,-0.9794154378118649,1,1,1,0,0
2567,25.67,3.474428078703698,5.006708671531765,2.9393042485131953,1.5322805928280672,0.5351238301905026,-0.9971567626375646,1,1,1,0,0
2568,25.68,3.452896805555557,4.997551449091268,2.9231402494831076,1.544654643535711,0.5297565560724493,-1.0148980874632616,1,1,1,0,0
2569,25.69,3.431365532407405,4.9883942266507635,2.906976250453014,1.5570286942433587,0.5243892819543907,-1.032639412288968,1,1,1,0,0
2570,25.7,3.409834259259258,4.97923700421026,2.8908122514229264,1.569402744951002,0.5190220078363317,-1.0503807371146703,1,1,1,0,0
2571,25.71,3.3879165972222194,4.969486483521288,2.8742173980129557,1.5815698862990684,0.5136991992092637,-1.0678706870898047,1,1,1,0,0
2572,25.72,3.3659989351851856,4.9597359628323145,2.8576225446029904,1.593737027647129,0.5083763905821952,-1.0853606370649338,1,1,1,0,0
2573,25.73,3.344081273148147,4.949985442143342,2.8410276911930197,1.6059041689951954,0.5030535819551272,-1.1028505870400682,1,1,1,0,0
2574,25.74,3.3221636111111077,4.940234921454369,2.824432837783049,1.6180713103432613,0.4977307733280587,-1.1203405370152026,1,1,1,0,0
2575,25.75,3.3002459490740743,4.930484400765397,2.8078379843730894,1.6302384516913224,0.4924079647009849,-1.1378304869903375,1,1,1,0,0
2576,25.76,3.277956759259254,4.920104347777533,2.790725048257671,1.6421475885182795,0.4872317110015829,-1.1549158775166966,1,1,1,0,0
2577,25.77,3.255667569444445,4.9097242947896635,2.7736121121422643,1.6540567253452187,0.48205545730218047,-1.1720012680430383,1,1,1,0,0
