sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
161,161.0,1.61,0.0,0.0,0.0,0.0372294070974509,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
162,162.0,1.62,0.0,0.0,0.0,0.0643489047971021,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
163,163.0,1.63,0.0,0.0,0.0,0.08980492063352,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
164,164.0,1.64,0.0,0.0,0.0,0.0505635445312316,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
165,165.0,1.65,0.0,0.0,0.0,0.0477320178712046,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
166,166.0,1.66,0.0,0.0,0.0,0.0549603162014033,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
167,167.0,1.67,0.0,0.0,0.0,0.0663911948141403,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
168,168.0,1.68,0.0,0.0,0.0,0.0544738333090614,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
169,169.0,1.69,0.0,0.0,0.0,0.0556660781260875,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
170,170.0,1.7,0.0,0.0,0.0,0.112773336208261,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
171,171.0,1.71,0.0,0.0,0.0,0.0548738968196483,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
172,172.0,1.72,0.0,0.0,0.0,0.0664853517332142,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
173,173.0,1.73,0.0,0.0,0.0,0.057069123174391,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
174,174.0,1.74,0.0,0.0,0.0,0.0688650361028857,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
175,175.0,1.75,0.0,0.0,0.0,0.0808166741655581,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
176,176.0,1.76,0.0,0.0,0.0,0.0787304690233695,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
177,177.0,1.77,0.0,0.0,0.0,0.0264933420238136,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
178,178.0,1.78,0.0,0.0,0.0,0.067024084591825,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
179,179.0,1.79,0.0,0.0,0.0,0.0663709046163647,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
180,180.0,1.8,0.0,0.0,0.0,0.0406514356010457,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
181,181.0,1.81,0.0,0.0,0.0,0.0443220398235224,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
182,182.0,1.82,0.0,0.0,0.0,0.0619021238750494,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
183,183.0,1.83,0.0,0.0,0.0,0.0732803370004701,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
184,184.0,1.84,0.0,0.0,0.0,0.0447110393521238,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
185,185.0,1.85,0.0,0.0,0.0,0.0550428675165192,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
186,186.0,1.86,0.0,0.0,0.0,0.095704936854078,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
187,187.0,1.87,0.0,0.0,0.0,0.0749167027580589,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
188,188.0,1.88,0.0,0.0,0.0,0.103164330614717,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
189,189.0,1.89,0.0,0.0,0.0,0.0893775541864407,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
190,190.0,1.9,0.0,0.0,0.0,0.0305509627508222,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
191,191.0,1.91,0.0,0.0,0.0,0.0702809991768817,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
192,192.0,1.92,0.0,0.0,0.0,0.0586143489166478,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
193,193.0,1.93,0.0,0.0,0.0,0.0945430881249205,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
194,194.0,1.94,0.0,0.0,0.0,0.0355835216479389,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
195,195.0,1.95,0.0,0.0,0.0,0.0505138842319071,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
