t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
1.88,0.0,0.0,0.2043958818598309,0.0,0.0,0.5,0.0,0.0,0.003948295883111044,1,0,TCN_NOT_READY
1.89,0.0,0.0,0.2052593841382336,0.0,0.0,0.5,0.0,0.0,0.003981726734570011,1,0,TCN_NOT_READY
1.9,0.0,0.0,0.20634543406678665,0.0,0.0,0.5,0.0,0.0,0.004023973712652886,1,0,TCN_NOT_READY
1.91,0.0,0.0,0.20706488742106074,0.0,0.0,0.5,0.0,0.0,0.004052082969583098,1,0,TCN_NOT_READY
1.92,0.0,0.0,0.20680723996391984,0.0,0.0,0.5,0.0,0.0,0.004042005361885937,1,0,TCN_NOT_READY
1.93,0.0,0.0,0.20641581060952188,0.0,0.0,0.5,0.0,0.0,0.004026719028074586,1,0,TCN_NOT_READY
1.94,0.0,0.0,0.20675067552775558,0.0,0.0,0.5,0.0,0.0,0.004039794583509186,1,0,TCN_NOT_READY
1.95,0.0,0.0,0.2060995849625963,0.0,0.0,0.5,0.0,0.0,0.004014390743251913,1,0,TCN_NOT_READY
1.96,0.0,0.0,0.2063233072870711,0.0,0.0,0.5,0.0,0.0,0.004023110763525889,1,0,TCN_NOT_READY
1.97,0.0,0.0,0.2050690980248882,0.0,0.0,0.5,0.0,0.0,0.003974347621459776,1,0,TCN_NOT_READY
1.98,0.0,0.0,0.2053103990883459,0.0,0.0,0.5,0.0,0.0,0.003983706208825339,1,0,TCN_NOT_READY
1.99,0.0,0.0,0.20529636877317067,0.0,0.0,0.5,0.0,0.0,0.003983161757651382,1,0,TCN_NOT_READY
2.0,0.0,0.0,0.20613135084905965,0.0,0.0,0.5,0.0,0.0,0.0040156283052576675,1,0,TCN_NOT_READY
2.01,0.0,0.0,0.20725748259073198,0.0,0.0,0.5,0.0,0.0,0.0040596243210401315,1,0,TCN_NOT_READY
2.02,0.0,0.0,0.20759445028828127,0.0,0.0,0.5,0.0,0.0,0.004072835658819372,1,0,TCN_NOT_READY
2.03,0.0,0.0,0.20710784939804835,0.0,0.0,0.5,0.0,0.0,0.004053764602400266,1,0,TCN_NOT_READY
